job_title,rating,company_name,location,size,founded,type_of_ownership,industry,sector,revenue,seniority,salary_min,salary_max,salary_avg,description_len,age
data analyst,4.3,"TechData Service Company, LLC",Remote,1 to 50 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,Less than $1 million (USD),na,127,127,127.0,698,-1
data scientist,-1.0,Tech Intellectuals,NY,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,na,127,127,127.0,458,-1
data scientist,3.8,The Home Depot,GA,10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),senior,127,127,127.0,1787,44
data scientist,3.9,"The Travelers Companies, Inc.",CT,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),senior,127,127,127.0,1647,169
data scientist,4.3,Delta,GA,10000+ Employees,1928,Company - Public,"Airlines, Airports & Air Transportation",Transportation & Logistics,$10+ billion (USD),na,127,127,127.0,64,94
data scientist,3.8,The Home Depot,GA,10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),senior,127,127,127.0,1597,44
data scientist,3.8,The Home Depot,GA,10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),senior,127,127,127.0,1723,44
data scientist,4.4,Indeed,TX,10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology,$1 to $5 billion (USD),na,127,127,127.0,738,18
na,3.9,Zillow,Remote,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD),na,127,127,127.0,1910,17
na,3.6,Tesla,CA,10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),na,127,127,127.0,631,19
na,4.1,John Deere,IL,10000+ Employees,1837,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),na,127,127,127.0,1140,185
data scientist,5.0,The Josef Group Inc.,VA,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,na,127,127,127.0,466,-1
data scientist,-1.0,Bright Apps LLC,CA,Unknown,-1,-1,-1,-1,Unknown / Non-Applicable,na,127,127,127.0,1134,-1
data scientist,4.1,John Deere,IA,10000+ Employees,1837,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),senior,127,127,127.0,888,185
data scientist,4.2,The Denzel Group,TX,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,na,127,127,127.0,891,-1
data engineer,3.7,The Mom Project,GA,51 to 200 Employees,2016,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,na,127,127,127.0,2981,6
data scientist,4.1,HKA Enterprises,SC,1001 to 5000 Employees,1977,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,na,127,127,127.0,956,45
data scientist,3.9,Apex Systems,OH,1001 to 5000 Employees,1995,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),na,127,127,127.0,1970,27
data scientist,4.0,Harnham,Remote,51 to 200 Employees,2006,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $100 million (USD),senior,127,127,127.0,604,16
data scientist,-1.0,"Computer Enterprises, Inc. (CEI)",Remote,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,senior,127,127,127.0,724,-1
data scientist,4.0,Harnham,NY,51 to 200 Employees,2006,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $100 million (USD),na,127,127,127.0,417,16
data scientist,3.8,Vaco,Remote,501 to 1000 Employees,2002,Company - Private,Business Consulting,Management & Consulting,$500 million to $1 billion (USD),na,127,127,127.0,500,20
